company,industry,official_campus_url,evidence_url,verified_at,scope,status_note
DJI 大疆,智能硬件,https://careers.dji.com/zh-CN/campus,https://careers.dji.com/zh-CN/campus,2026-07-16,2027拓疆者校园招聘,2026-06-25开启且招满即止
拼多多集团 PDD,互联网,https://careers.pddglobalhr.com/campus/,https://careers.pddglobalhr.com/campus/,2026-07-16,2027届校园招聘与大模型人才专项,官方页面当前开放
百度,人工智能,https://talent.baidu.com/jobs/list?recruitType=GRADUATE,https://talent.baidu.com/jobs/list?projectType=3&recruitType=GRADUATE,2026-07-16,2027届校招全部入口与11个AIDU具体岗位,2026-07-09起网申；官方适配器每24小时检查
华为,通信,https://career.huawei.com/cn/campus-recruitment,https://career.huawei.com/cn/campus-recruitment,2026-07-16,2027届顶尖AI与实习招聘,官方页面当前展示
字节跳动,互联网,https://jobs.bytedance.com/campus/page-6272Gc,https://jobs.bytedance.com/campus/page-6272Gc,2026-07-16,Seed大模型人才校招,面向2027届及以后毕业生
小米集团,智能硬件,https://hr.xiaomi.com/campus/,https://hr.xiaomi.com/campus/,2026-07-16,顶尖应届招聘,官方页面覆盖2024至2027毕业生
OPPO,智能终端,https://careers.oppo.com/university/oppo/campus/,https://careers.oppo.com/university/oppo/campus/post,2026-07-16,2027届寻梦实习招聘,官方岗位页当前展示
比亚迪,新能源,https://job.byd.com/portal/mobile/school-home,https://job.byd.com/portal/mobile/school-home,2026-07-16,校园招聘,官方页面面向2026和2027毕业生
联想集团,智能制造,https://talent.lenovo.com.cn/trainee,https://talent.lenovo.com.cn/trainee,2026-07-16,2027届实习生招聘,官方页面明确毕业范围
长江存储,半导体,https://ymtc-campus.zhiye.com/,https://career.nankai.edu.cn/correcruit/content/id/116188.html,2026-07-16,2027届提前批校园招聘,高校就业中心发布并指向企业官方投递站
京东方 BOE,半导体显示,https://www.boe.com/join/index,https://career.hebut.edu.cn/home/correcruit/content/id/78918.html,2026-07-16,2027届先锋京英计划,2026-08-14截止
海尔集团,制造业,https://maker.haier.net/client/campus/index,https://maker.haier.net/client/campus/index,2026-07-16,2027届具体校园岗位,官方岗位详情页可直接核验
中国航天科技集团,央企国企,https://wap.sasac.gov.cn/n2588035/n2588325/n2588350/c35517299/content.html,https://wap.sasac.gov.cn/n2588035/n2588325/n2588350/c35517299/content.html,2026-07-16,2027届星辰英才计划提前批,国务院国资委官方发布
基恩士中国,工业自动化,https://www.keyence.com.cn/ss/careers/recruitment.jsp,https://www.keyence.com.cn/ss/careers/recruitment.jsp,2026-07-16,2027校园大使,企业官方招聘页当前展示
